"Rep","Stage1_1","Stage1_2","Stage1_3","Stage1_4","Stage1_5","Stage2_1","Stage2_2","Stage2_3","Stage2_4","Stage2_5","Stage3_1","Stage3_2","Stage3_3","Stage3_4","Stage3_5","Stage4_1","Stage4_2","Stage4_3","Stage4_4","Stage4_5","Stage5_1","Stage5_2","Stage5_3","Stage5_4","Stage5_5","Stage6_1","Stage6_2","Stage6_3","Stage6_4","Stage6_5","Stage7_1","Stage7_2","Stage7_3","Stage7_4","Stage7_5","Marg_Bias","Marg_MSE","StartCor_Bias","StartLow_Bias","StartHigh_Bias","StartCor_MSE","StartLow_MSE","StartHigh_MSE","TStart1_Bias","TStart2_Bias","TStart3_Bias","TStart4_Bias","TStart1_MSE","TStart2_MSE","TStart3_MSE","TStart4_MSE"
31,239,446,612,703,0,174,464,844,407,111,28,981,572,322,97,192,180,739,729,160,73,506,1036,129,256,200,639,191,888,82,82,371,740,582,225,-0.00317593402010402,0.0234344094437116,-0.00785203896138269,-0.00127871918755675,0.00393986214112087,0.0215556357175034,0.025136763699195,0.0251157804351198,0.0271179017003024,0.0225311924341638,-0.00798442267710751,-0.0229641235295685,0.0154607504127799,0.0232694260678049,0.0255281450560512,0.0226620558815199
32,252,482,654,612,0,73,601,912,317,97,144,795,13,909,139,113,611,775,407,94,134,456,616,684,110,93,752,0,1088,67,319,380,607,631,63,0.00180814337147669,0.0231172709458311,0.00408254129258117,-0.00979261509008373,0.0141947359232835,0.0212031454321031,0.0264436028816832,0.0219318229451107,0.0350891734642047,0.0218847384243041,0.00280101548796679,-0.0237793038876988,0.0213284710943548,0.0173513267803083,0.0258784777822824,0.0249159514726534
33,228,473,636,663,0,44,525,1099,288,44,190,743,7,1027,33,117,765,183,861,74,194,388,786,545,87,88,363,983,438,128,132,573,798,378,119,0.00225248695647428,0.020610015345777,-0.001687556252274,0.00166276376749507,0.0116165864011707,0.0198650647127077,0.0233589805992432,0.0186881336156333,0.0388304998378643,0.0255086625643776,-0.000262757777305723,-0.0210079493243635,0.0220120053940479,0.0215619635221961,0.021082943160537,0.0190000912438766
34,248,459,635,658,0,337,216,977,418,52,60,1058,59,617,206,138,350,748,634,130,27,755,681,407,130,155,513,621,441,270,250,0,1404,316,30,-0.00226045920050346,0.0271913367033631,0.00404864595668987,-0.0148097155900893,0.0028659016108674,0.026793232062065,0.0265100182602024,0.0288290297745364,0.0254577792679027,0.0326827575391268,-0.0165710976099508,-0.0167951707281848,0.0329487712779985,0.0306938303193613,0.0267396648232631,0.0237713540818831
35,256,443,655,646,0,189,496,521,721,73,222,651,457,554,116,116,657,955,84,188,248,270,670,668,144,94,412,934,509,51,183,964,0,686,167,-0.0010812484962863,0.0255422259811565,-0.013704596761699,0.00409178736492282,0.013624283085388,0.0248857290259057,0.0257498287451279,0.0263838869617741,0.0561480530402673,0.0161244403631046,0.00690333398896961,-0.0384017961893559,0.0291123813014505,0.0272507195112997,0.0239983037535672,0.0251393612818714
36,247,464,623,666,0,134,360,892,529,85,111,395,672,712,110,106,261,892,508,233,128,179,955,540,198,155,905,0,773,167,183,56,825,846,90,-0.000880023086719949,0.0219547421621522,-0.00989177075151894,0.0076635493900851,0.00615924450696543,0.0205788084781857,0.0225769180861161,0.0239317819769203,0.0345473189849676,0.013431634673764,-0.000371497230166177,-0.0207174605365992,0.0322756123286398,0.0252903999924985,0.0206362241436756,0.0185534626342437
37,278,416,611,695,0,62,402,1199,267,70,174,478,647,644,57,136,704,945,9,206,77,575,766,554,28,219,441,862,291,187,68,248,950,694,40,0.000545158620003712,0.0254916780112772,0.000552382883961498,-0.00678735710698593,0.00971992318814547,0.0252421542873423,0.0254395380009101,0.0260301785298211,0.0484544765911132,0.00934758862503679,0.00842287117555507,-0.026834574984279,0.029209767791894,0.0254630373508708,0.024354319375772,0.0260286420040689
38,254,455,634,657,0,151,245,1002,583,19,28,1044,462,101,365,106,564,934,52,344,140,428,1004,386,42,46,420,707,734,93,125,351,993,303,228,0.0024696232347753,0.0173518268789548,-0.00394737367098475,0.00322966462763709,0.0148545232799565,0.016452367752147,0.0197941357347522,0.01562699191924,0.0167266075109008,0.022341942960957,0.00885364011856417,-0.0227634764721071,0.017228233941055,0.0163263835282152,0.0159042707666018,0.0198216334602489
39,266,493,594,647,0,65,489,1050,258,138,168,341,1040,196,255,67,1104,99,576,154,95,535,643,658,69,73,512,239,1088,88,251,434,621,472,222,-0.00469068911313108,0.0204915218440457,-0.0016389533187509,-0.0109101211564154,-0.00179995172263896,0.0203464595429731,0.0229997126684366,0.0169409069777327,0.0281731831820737,0.0301638758175655,-0.0243604357879132,-0.0151474610804346,0.0237753533159923,0.0195563869132747,0.0177146225393039,0.0239461773101394
40,257,494,599,650,0,13,674,779,458,76,73,445,922,446,114,200,225,605,915,55,127,364,1123,68,318,126,898,0,838,138,167,857,0,876,100,-0.000602626001371441,0.0222207408281014,-0.00417553519493642,-0.00165978471432768,0.00724634668130023,0.021347548902907,0.0203478193968211,0.0262839330409278,0.0620733172407997,0.0203484516165047,-0.00571250705111823,-0.0267215278773041,0.0294541975581096,0.0240195129702344,0.0225019834317249,0.0186120990867496
41,248,447,608,697,0,73,669,879,379,0,60,513,934,356,137,45,407,952,459,137,1,636,374,916,73,236,280,988,429,67,294,0,1131,514,61,0.00180107768218173,0.020183488697787,-0.00251038354564283,0.000498920968443478,0.0122859281341475,0.0215421758045778,0.0179110453843113,0.0202559817352979,0.0155217029218675,0.0159568601300426,0.0143355429265818,-0.0278106013571252,0.023581201813853,0.0123337826283471,0.0205848258099028,0.0250800483213766
42,248,458,627,667,0,177,544,645,531,103,116,610,594,478,202,36,504,747,563,150,176,0,1188,459,177,141,469,1002,232,156,367,692,533,323,85,0.000972150311341869,0.0200184696805947,-0.00488262088440391,0.00123945495582557,0.0128095655491446,0.0211858334323371,0.0185681119091814,0.0195854414631974,0.0203974797094299,0.0108079994948542,0.0100117359695434,-0.0216892512653175,0.0221371289365909,0.017940491973357,0.0201327833619172,0.0210407708210107
43,244,464,627,665,0,56,651,1021,212,60,213,469,1042,216,60,27,947,440,486,100,101,434,677,637,151,67,699,628,336,270,65,367,1100,442,26,-0.00110657126526441,0.0266373989805553,-0.00646320249382466,-0.00240061439936587,0.0108823686800597,0.0265347247904395,0.0274028650651191,0.0258539899545486,0.0235081289317278,0.0288214175887218,-0.00178116775444871,-0.030605638469941,0.0326270328167775,0.0261861107813515,0.0216316046084872,0.0319668035972507
44,262,485,606,647,0,123,439,1125,218,95,185,202,1035,477,101,132,522,549,596,201,108,349,670,813,60,109,745,864,51,231,163,337,508,726,266,-4.71408053789891e-05,0.0229139781888218,0.00180041695245738,-0.001977339616351,-0.00112587594679279,0.019377912604189,0.0261065111708303,0.025675636651567,0.0450562573927969,0.0279546503927001,-0.00934253979856908,-0.0217011481955061,0.0354528918776979,0.0219901657673432,0.0216291643681167,0.0220871085358501
45,254,469,607,670,0,87,322,1272,131,188,81,562,939,303,115,162,427,988,48,375,585,0,459,785,171,156,562,827,392,63,162,139,979,535,185,-0.00393154109004775,0.0226242280848426,-0.00682408206861541,-0.00591974379266879,0.0042741579252375,0.0218965497252626,0.0250133802406,0.0211530793038794,0.0663305577953549,0.0063841453034667,-0.0112921575581349,-0.0211023917676821,0.031798179425576,0.0210243976990234,0.0204690259883415,0.0243010110881784
46,238,482,623,657,0,88,493,906,469,44,41,825,629,475,30,155,205,817,713,110,158,783,297,724,38,97,447,1250,0,206,219,146,735,772,128,-0.00331030071020845,0.0199761849801356,-0.00582215826401242,-0.000782881161858533,-0.00158429690568945,0.0216750881306978,0.0182553320653905,0.0188246680309918,0.0275816467987157,0.00609213330974124,-0.00697801501650725,-0.0124611254843148,0.0270011525108641,0.0190453748233268,0.0180402825039038,0.0217706230888498
47,235,453,635,677,0,118,510,393,967,12,86,261,430,875,348,131,450,915,424,80,136,122,1037,561,144,100,698,222,694,286,151,411,532,801,105,0.00527081730737194,0.0238997076454101,-0.000617785006835402,0.00116054701673097,0.0217305874737578,0.0256359729356069,0.0225913214527936,0.0222192594987443,0.0497849303289037,0.03001312326114,0.00675525409992823,-0.0251593998032019,0.025994913885487,0.0269689170487219,0.0190806359965866,0.0268645565511174
48,253,448,625,674,0,26,514,828,548,84,246,2,1025,476,251,54,496,772,423,255,128,918,343,489,122,113,735,566,327,259,235,172,742,635,216,-0.00826554793263874,0.0245246281634238,-0.0162867001701343,-0.0125933152174194,0.0145896960833892,0.0261077718679076,0.0252220307043683,0.0202298422863135,0.0798187978942164,-0.00533363544477939,0.00832120504705921,-0.0472810531204828,0.0301779354846898,0.0165126156670635,0.0233375602619978,0.030857349600479
